source,mission_time_s,pos_x,pos_y,pos_z,vel_x,vel_y,vel_z,temperature_k,battery_level,power_w,solar_w_m2,pressure_pa,wind_ms,confidence,real_data
SYNTHETIC_ORBIT,0.0,3796200.0,0.0,0.0,-0.0,3358.526574762356,0.0,310.0,0.9,420.0,1360.0,0.0,0.0,0.98,False
SYNTHETIC_ORBIT,71.01991761015883,3788709.0664594043,238365.3702371794,0.0,-210.88362848233362,3351.899289749483,0.0,310.0,0.9,420.0,1360.0,0.0,0.0,0.98,False
SYNTHETIC_ORBIT,142.03983522031766,3766265.829130021,475790.02125681174,0.0,-420.93499562661304,3332.0435895770916,0.0,310.0,0.9,420.0,1360.0,0.0,0.0,0.98,False
SYNTHETIC_ORBIT,213.0597528304765,3728958.861216248,711336.9464303278,0.0,-629.3251246500613,3299.0378356225547,0.0,310.0,0.9,420.0,1360.0,0.0,0.0,0.98,False
SYNTHETIC_ORBIT,284.0796704406353,3676935.3962765094,944076.5496552215,0.0,-835.2315949178164,3253.012286517837,0.0,310.0,0.9,420.0,1360.0,0.0,0.0,0.98,False
SYNTHETIC_ORBIT,355.0995880507941,3610400.7471596617,1173090.3140461752,0.0,-1037.8417876614503,3194.148584078181,0.0,310.0,0.9,420.0,1360.0,0.0,0.0,0.98,False
SYNTHETIC_ORBIT,426.119505660953,3529617.49572898,1397474.4269015745,0.0,-1236.356093013996,3122.679036444849,0.0,310.0,0.9,420.0,1360.0,0.0,0.0,0.98,False
SYNTHETIC_ORBIT,497.1394232711118,3434904.4565715035,1616343.3466393289,0.0,-1429.991065704786,3038.8857012710196,0.0,310.0,0.9,420.0,1360.0,0.0,0.0,0.98,False
SYNTHETIC_ORBIT,568.1593408812706,3326635.418782515,1828833.2976249312,0.0,-1617.982516960014,2943.099272569089,0.0,310.0,0.9,420.0,1360.0,0.0,0.0,0.98,False
SYNTHETIC_ORBIT,639.1792584914294,3205237.6707907496,2034105.679099267,0.0,-1799.588530406701,2835.6977756124884,0.0,310.0,0.9,420.0,1360.0,0.0,0.0,0.98,False
SYNTHETIC_ORBIT,710.1991761015883,3071190.3140461757,2231350.3747526864,0.0,-1974.0923900776672,2717.1050750426284,0.0,310.0,0.9,420.0,1360.0,0.0,0.0,0.98,False
SYNTHETIC_ORBIT,781.2190937117471,2925022.3722254513,2419788.9498839756,0.0,-2140.805408962022,2587.7892020688073,0.0,310.0,0.9,420.0,1360.0,0.0,0.0,0.98,False
SYNTHETIC_ORBIT,852.239011321906,2767310.7034171624,2598677.723526488,0.0,-2299.069646938163,2448.2605073628497,0.0,310.0,0.9,420.0,1360.0,0.0,0.0,0.98,False
