source,mission_time_s,pos_x,pos_y,pos_z,vel_x,vel_y,vel_z,temperature_k,battery_level,power_w,solar_w_m2,pressure_pa,wind_ms,confidence,real_data
SYNTHETIC_MEX,0.0,3696200.0,0.0,0.0,-0.0,4261.376293161693,0.0,333.0,0.85,540.0,2299932863483.6094,0.0,0.0,0.96,False
SYNTHETIC_MEX,120.96,3673801.4263265654,509122.68833595363,0.0,-373.1791077383642,4235.641314936564,0.0,333.0,0.85,540.0,2284195103778.919,0.0,0.0,0.96,False
SYNTHETIC_MEX,241.92,3607306.1094953534,1012280.0747539708,0.0,-734.5124401169314,4160.269822262027,0.0,333.0,0.85,540.0,2238413874285.221,0.0,0.0,0.96,False
SYNTHETIC_MEX,362.88,3498735.687981117,1503896.9216479352,0.0,-1073.5755132204872,4040.4172838367467,0.0,333.0,0.85,540.0,2166568918700.885,0.0,0.0,0.96,False
SYNTHETIC_MEX,483.84,3351212.6556163263,1979114.557046426,0.0,-1382.424655202426,3883.645603283761,0.0,293.0,0.85,460.0,2074361912861.5996,0.0,0.0,0.96,False
SYNTHETIC_MEX,604.8,3168647.462172907,2434008.3820088324,0.0,-1656.0852269004904,3698.7307269425482,0.0,293.0,0.85,460.0,1968179399720.0955,0.0,0.0,0.96,False
SYNTHETIC_MEX,725.76,2955394.580712758,2865679.52965314,0.0,-1892.470994869537,3494.519388958736,0.0,293.0,0.85,460.0,1854157728968.2058,0.0,0.0,0.96,False
SYNTHETIC_MEX,846.7199999999999,2715933.622257916,3272231.881227659,0.0,-2091.898342007518,3279.064898639206,0.0,293.0,0.85,460.0,1737546607621.0337,0.0,0.0,0.96,False
SYNTHETIC_MEX,967.68,2454613.312773964,3652664.5507443883,0.0,-2256.414994690862,3059.1262390828256,0.0,293.0,0.85,460.0,1622414538216.1497,0.0,0.0,0.96,False
SYNTHETIC_MEX,1088.6399999999999,2175474.023065153,4006716.5949764256,0.0,-2389.129106925113,2839.995214386046,0.0,293.0,0.85,460.0,1511629796246.262,0.0,0.0,0.96,False
SYNTHETIC_MEX,1209.6,1882146.074599038,4334697.134792293,0.0,-2493.6503203299194,2625.5561259393794,0.0,293.0,0.85,460.0,1407009544712.5046,0.0,0.0,0.96,False
SYNTHETIC_MEX,1330.56,1577809.8393821055,4637324.884735161,0.0,-2573.6832938144066,2418.474885697191,0.0,293.0,0.85,460.0,1309539538806.6907,0.0,0.0,0.96,False
SYNTHETIC_MEX,1451.52,1265199.6339255462,4915590.753883076,0.0,-2632.766779225773,2220.4361607148808,0.0,293.0,0.85,460.0,1219598259786.2866,0.0,0.0,0.96,False
